#,Player,2021Salary
351,Gary Clark ,"2,000,000"
351,Damyean Dotson ,"2,000,000"
351,Theo Maledon ,"2,000,000"
351,Kenrich Williams ,"2,000,000"
355,Omari Spellman ,"1,988,280"
356,Mario Hezonja ,"1,977,011"
356,Cameron Payne ,"1,977,011"
358,Udoka Azubuike ,"1,977,000"
359,Jaden McDaniels ,"1,964,760"
360,Malachi Flynn ,"1,950,600"
361,Desmond Bane ,"1,936,440"
362,Anderson Varejao ,"1,913,345"
363,Jontay Porter ,"1,900,000"
364,Jahlil Okafor ,"1,882,867"
364,JaKarr Sampson ,"1,882,867"
364,Raul Neto ,"1,882,867"
367,Larry Sanders ,"1,865,546"
368,Timothe Luwawu ,"1,824,003"
368,David Nwaba ,"1,824,003"
368,Marquese Chriss ,"1,824,003"
371,Georges Niang ,"1,783,557"
372,Rodions Kurucs ,"1,780,152"
373,PJ Dozier ,"1,762,796"
373,Damion Lee ,"1,762,796"
373,Alfonzo McKinnie ,"1,762,796"
373,Furkan Korkmaz ,"1,762,796"
377,Semi Ojeleye ,"1,752,950"
377,Abdel Nader ,"1,752,950"
379,DeAndre Bembry ,"1,737,145"
379,Thon Maker ,"1,737,145"
379,Willy Hernangomez ,"1,737,145"
379,Frank Kaminsky ,"1,737,145"
383,Monte Morris ,"1,723,707"
384,Kevin Porter ,"1,717,981"
385,Shake Milton ,"1,701,593"
385,Brandon Goodwin ,"1,701,593"
385,Thanasis Antetokounmpo ,"1,701,593"
388,Dwayne Bacon ,"1,678,854"
388,Wesley Iwundu ,"1,678,854"
388,Sterling Brown ,"1,678,854"
388,Torrey Craig ,"1,678,854"
392,Bruce Brown ,"1,663,861"
392,Devonte Graham ,"1,663,861"
392,Jalen Brunson ,"1,663,861"
392,Hamidou Diallo ,"1,663,861"
392,Kendrick Nunn ,"1,663,861"
392,Duncan Robinson ,"1,663,861"
392,Jarred Vanderbilt ,"1,663,861"
392,Mitchell Robinson ,"1,663,861"
392,Sviatoslav Mykhailiuk ,"1,663,861"
392,Gary Trent Jr ,"1,663,861"
392,Isaac Bonga ,"1,663,861"
403,Isaiah Hartenstein ,"1,620,564"
403,Wenyen Gabriel ,"1,620,564"
403,Drew Eubanks ,"1,620,564"
403,Josh Gray ,"1,620,564"
403,Harry Giles ,"1,620,564"
408,Ignas Brazdeikis ,"1,617,001"
409,Bruno Fernando ,"1,517,981"
409,Carsen Edwards ,"1,517,981"
409,Nicolas Claxton ,"1,517,981"
409,Cody Martin ,"1,517,981"
409,Caleb Martin ,"1,517,981"
409,Jalen McDaniels ,"1,517,981"
409,Vlatko Cancar ,"1,517,981"
409,Eric Paschall ,"1,517,981"
409,Alen Smailagic ,"1,517,981"
409,Jalen Lecque ,"1,517,981"
409,KZ Okpala ,"1,517,981"
409,Jaylen Nowell ,"1,517,981"
409,Naz Reid ,"1,517,981"
409,Luguentz Dort ,"1,517,981"
409,Isaiah Roby ,"1,517,981"
409,Justin James ,"1,517,981"
409,Matt Thomas ,"1,517,981"
409,Daniel Gafford ,"1,517,981"
409,Admiral Schofield ,"1,517,981"
