Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
199,Isaiah Hartenstein\harteis01,C,22,DEN,30,0,9.1,1.4,2.7,0.513,0,0,,1.4,2.7,0.513,0.513,0.7,1.2,0.611,1.3,1.5,2.8,0.5,0.4,0.7,0.7,2,3.5
199,Isaiah Hartenstein\harteis01,C,22,CLE,5,1,23.4,3.8,6.4,0.594,0.4,1,0.4,3.4,5.4,0.63,0.625,2,3.8,0.526,1.6,8,9.6,3.4,0,1.2,0.6,3.4,10
200,Jaxson Hayes\hayesja02,C,20,NOP,39,3,14.6,2.4,3.6,0.662,0.1,0.1,0.667,2.4,3.6,0.662,0.669,1.2,1.6,0.787,1.3,2.4,3.7,0.6,0.3,0.5,0.7,1.9,6.1
201,Killian Hayes\hayeski01,PG,19,DET,10,7,21.4,2.2,6.6,0.333,0.7,2.7,0.259,1.5,3.9,0.385,0.386,0.1,0.2,0.5,0.2,1.7,1.9,3.7,0.6,0.3,2.3,2,5.2
202,Gordon Hayward\haywago01,SF,30,CHO,44,44,34,7.1,15,0.473,1.9,4.7,0.415,5.1,10.3,0.499,0.537,3.5,4.2,0.843,0.8,5,5.9,4.1,1.2,0.3,2.1,1.7,19.6
203,Juan Hernangómez\hernaju01,PF,25,MIN,33,6,16.5,2.3,5.2,0.434,0.9,2.8,0.315,1.4,2.5,0.568,0.517,1.2,1.8,0.655,0.9,3.3,4.2,0.6,0.4,0.1,0.5,0.9,6.6
204,Willy Hernangómez\hernawi01,C,26,NOP,29,2,16.1,2.7,5,0.534,0,0.3,0.125,2.7,4.8,0.558,0.538,1,1.7,0.604,2.3,4,6.3,1,0.3,0.5,0.6,1.1,6.4
205,Tyler Herro\herroty01,SG,21,MIA,41,14,31.7,5.8,13.5,0.429,2,5.7,0.34,3.8,7.7,0.495,0.502,2.1,2.5,0.817,0.5,4.5,5,3.4,0.7,0.4,2,1.4,15.6
206,Buddy Hield\hieldbu01,SG,28,SAC,52,52,34.6,5.6,14.2,0.396,4,10.5,0.383,1.6,3.8,0.431,0.537,1.2,1.4,0.851,0.4,4.1,4.5,3.1,0.8,0.3,1.8,2.6,16.5
207,George Hill\hillge01,PG,34,OKC,14,14,26.4,4.4,8.6,0.508,1.6,4.1,0.386,2.8,4.5,0.619,0.6,1.5,1.8,0.84,0.6,1.5,2.1,3.1,0.9,0.1,0.9,0.9,11.8
208,Solomon Hill\hillso01,PF,29,ATL,51,6,19.7,1.5,4.1,0.371,1,3.1,0.325,0.5,1,0.509,0.493,0.4,0.5,0.75,0.6,2,2.6,0.9,0.7,0.2,0.6,1.5,4.5
209,Nate Hinton\hintona01,SG,21,DAL,13,0,3.5,0.5,1.5,0.368,0.1,0.5,0.167,0.5,1,0.462,0.395,0.3,0.5,0.667,0,0.3,0.3,0.3,0.3,0.1,0.3,0.2,1.5
210,Jaylen Hoard\hoardja01,F,21,OKC,3,0,23.7,4,8.3,0.48,0,1,0,4,7.3,0.545,0.48,3.7,4.3,0.846,2,2,4,1,0.3,0.3,1.7,1.3,11.7
211,Aaron Holiday\holidaa01,PG,24,IND,48,6,17.5,2.6,6.7,0.394,1,2.8,0.36,1.6,3.9,0.419,0.47,0.9,1.2,0.768,0.2,1.1,1.2,1.7,0.6,0.1,0.9,1.6,7.2
